Item,"Location
where item
is reported"
1,"Our paper is made up of a systematic literature review and a survey, so we only specified the title of the relevant section (Section 3) as “Systematic Literature Review”."
2,Page1
3,Page 1-3
4,Page 2
5,Page 3
6,Page 3
7,Page 3-4
8,Page 3-4
9,"Page 3-4, Appendix1-Literature-Review"
10a,Appendix1-Literature-Review/appendix - taxonomy and citations.csv
10b,Appendix1-Literature-Review/appendix - general search list.csv
11,Page 3-4
12,NA
13,Page 4
13a,Page 4
13b,NA
13c,Page 5
13d,NA
13e,NA
13f,NA
14,NA
15,NA
16a,Page 3-4
16b,NA
17,"Appendix1-Literature-Review/appendix - relevant paper 45 (general).csv
Appendix1-Literature-Review/appendix - relevant paper 26 (specific).csv"
18,Page 4
19,NA
20,Page 4-6
20a,"Appendix1-Literature-Review/appendix - taxonomy and citations.csv
Appendix1-Literature-Review/appendix - relevant paper 45 (general).csv
Appendix1-Literature-Review/appendix - relevant paper 26 (specific).csv"
20b,NA
20c,NA
20d,NA
21,NA
22,NA
23a,Page 4-6
23b,Page 11
23c,Page 11
23d,Page 10-11
24a,NA
24b,NA
24c,NA
25,Page 11
26,README.md
27,Page 2 (current repository)
