snowballing source title,paper title,excluded,selected
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Generative Artificial Intelligence for Software Engineering--A Research Agenda,1,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,From HAL to GenAI: Optimizing chatbot impacts with CARE,0,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Balancing innovation and Regulation in the age of geneRative artificial intelligence,0,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Impacts of generative artificial intelligence on the future of labor market: A systematic review,0,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Ethics of Software Programming with Generative AI: Is Programming without Generative AI always radical?,1,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Understanding the Ethics of Generative AI: Established and New Ethical Principles,0,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,PMAssist: Scaling Product Efficiency using GenAI,0,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Generative AI-driven customer insights in marketing operations,1,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Användning av generativ AI för dokumentation av QR inom agila metoder,1,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,An Exploration of Using Retrieval-Augmented Generation With Access Control,1,0
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,Generative Artificial Intelligence Use in Optimising Software Engineering Process: A Systematic,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Student Perspectives on Using a Large Language Model (LLM) for an Assignment on Professional Ethics,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,The promise and challenges of generative AI in education,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,"[PDF] Large language models: a comprehensive survey of its applications, challenges, limitations, and future prospects",1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,"Generative AI in education: A study of Educators' awareness, sentiments, and influencing factors",0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Large Language Models in Computer Science Classrooms: Ethical Challenges and Strategic Solutions.,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,With Great Power Comes Great Responsibility-Integrating Data Ethics into Computing Education,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,"[PDF] LLMs: A Comprehensive Survey of Applications, Challenges, Datasets, Models, Limitations, and Future Prospects",1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,"Generative AI in education from the perspective of students, educators, and administrators",1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Programmers Aren't Obsolete Yet: A Syllabus for Teaching CS Students to Responsibly Use Large Language Models for Code Generation,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Large language models (LLMs) in engineering education: A systematic review and suggestions for practical adoption,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,"Advancing education with large language models: a systematic review of potential, limitations, and business opportunities",1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,AI Literacy in K-12 and Higher Education in the Wake of Generative AI: An Integrative Review,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,"Beyond the Hype: A Comprehensive Review of Current Trends in Generative AI Research, Teaching Practices, and Tools",0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Insights from social shaping theory: The appropriation of large language models in an undergraduate programming course,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Path to Personalization: A Systematic Review of GenAI in Engineering Education,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Exploring the Use of Generative AI in Computer Science Education in a Technological University in Ireland,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Software engineering education in the era of conversational AI: current trends and future directions,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Open Source Language Models Can Provide Feedback: Evaluating LLMs' Ability to Help Students Using GPT-4-As-A-Judge,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Understanding Help-Seeking Behavior of Students Using LLMs vs. Web Search for Writing SQL Queries,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,… and peril of Coding & Robotics education in South Africa: A scoping review of teacher preparation and generative artificial intelligence's potential for delivering equity,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Unlocking Learning Potential: Generative AI Chatbots as Study Partners in Online BS in Computer Science Degree Program,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,"LLMs Integration in Software Engineering Team Projects: Roles, Impact, and a Pedagogical Design Space for AI Tools in Computing Education",1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,Sieving Coding Assignments Over Submissions Generated by AI and Novice Programmers,0,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,[PDF] GenAI DRIVEN LIBRARIES: TOWARDS TRANSFORMING HIGHER EDUCATIONAL INSTITUTIONS,1,0
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,The Detection of AI Generated Coding Content,1,0
