Title,excluded,selected
ChatGPT: From technological innovation to paradigm revolution; [ChatGPT:从技术创新到范式革命],1,
Integrating human expertise & automated methods for a dynamic and multi-parametric evaluation of large language models’ feasibility in clinical decision-making,0,
"ChatGPT Utility in Healthcare Education, Research, and Practice: Systematic Review on the Promising Perspectives and Valid Concerns",0,
"Proceedings - 2024 International Workshop on Large Language Models for Code, LLM4Code 2024",1,
Self-Collaboration Code Generation via ChatGPT,0,
Measuring Impact of Generative AI in Software Development and Innovation,0,
"LLMs for Code: The Potential, Prospects, and Problems",1,
Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,0,1
Learn to Code Sustainably: An Empirical Study on Green Code Generation,0,1
Integrating Machine Learning and Large Language Models to Advance Exploration of Electrochemical Reactions,0,
Transforming Ideas into Code: A Novel Approach to Design-to-Development Workflow,0,
AI-Driven Analysis of Drug Marketing Efficiency: Unveiling FDA Approval to Market Release Dynamics,0,
Towards the Integration of Large Language Models and Automatic Assessment Tools: Enhancing Student Support in Programming Assignments,1,
LightVA: Lightweight Visual Analytics with LLM Agent-Based Task Planning and Execution,0,
Exploring ChatGPT in Network Management and Monitoring: Benefits and Challenges,0,
ChatGPT in scientific research: a guide to informed use; [ChatGPT nella ricerca scientifica: guida all’uso consapevole],1,
The Robots are Here: Navigating the Generative AI Revolution in Computing Education,0,1
Property-Based Testing for Parameter Learning of Probabilistic Graphical Models,1,
A Pair Programming Framework for Code Generation via Multi-Plan Exploration and Feedback-Driven Refinement,0,
GPT-3-Powered Type Error Debugging: Investigating the Use of Large Language Models for Code Repair,0,
Empowering Diversity by Building Inclusive Software Engineering Projects with Large Language Models,1,
LLMSmartSec: Smart Contract Security Auditing with LLM and Annotated Control Flow Graph,0,
Generative AI meets Responsible AI: Practical Challenges and Opportunities,1,
Guidelines for the Evolving Role of Generative AI in Introductory Programming Based on Emerging Practice,0,
CHATGPT AND BARD IN EDUCATION: A COMPARATIVE REVIEW,0,
It is Time to Develop an Auditing Framework to Promote Value Aware Chatbots,0,1
INTERVENOR: Prompting the Coding Ability of Large Language Models with the Interactive Chain of Repair,0,
RMCBench: Benchmarking Large Language Models' Resistance to Malicious Code,0,
Integrating Generative Artificial Intelligence and Problem-Based Learning into the Digitization in Construction Curriculum,0,
Coding Literacy in?the?Age of?Generative AI,0,
Assessing GPT's Legal Knowledge in Japanese Real Estate Transactions Exam,0,
From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,0,1
DistillSeq: A Framework for Safety Alignment Testing in Large Language Models using Knowledge Distillation,0,
Study on the Beneficial Impacts and Ethical Dimensions of Generative AI in Software Product Management,1,
How Secure is Code Generated by ChatGPT?,0,
Generative AI-Driven Approach to Converting Numerical Code into Mathematical Functions,0,
Using AI Assistants in Software Development: A Qualitative Study on Security Practices and Concerns*,0,
“What Can ChatGPT Do?” Analyzing Early Reactions to the Innovative AI Chatbot on Twitter,0,
"SWAT: A programmable, in-memory, distributed, high-performance computing platform",1,
Assessing the Performance of AI-Generated Code: A Case Study on GitHub Copilot,0,
"ChatGPT and Artificial Intelligence in Hospital Level Research: Potential, Precautions, and Prospects",0,
Harnessing Large Language Models for Software Vulnerability Detection: A Comprehensive Benchmarking Study,0,
A Guide to Network Meta-Analysis Using Generative AI and No-Code Tools,1,
An Open-source Cross-Industry and Cloud-agnostic Generative AI Platform,0,
Teaching and learning computer programming using ChatGPT: A rapid review of literature amid the rise of generative AI technologies,0,1
Artificial intelligence technologies and compassion in healthcare: A systematic scoping review,0,
A Systematic Study and Comprehensive Evaluation of ChatGPT on Benchmark Datasets,0,
Artificial Intelligence in System and Software Engineering for Auto Code Generation,0,
AI-Driven Refactoring: A Pipeline for Identifying and Correcting Data Clumps in Git Repositories,0,
AN ARTIFICIAL INTELLIGENCE (AI)-ASSISTED SCOPING REVIEW OF EMERGING USES OF AI IN QUALITATIVE RESEARCH AND ITS ETHICAL CONSIDERATIONS; [UMA REVIS?O DE ESCOPO ASSISTIDA POR INTELIGêNCIA ARTIFICIAL (IA) SOBRE USOS EMERGENTES DE IA NA PESQUISA QUALITATIVA E SUAS CONSIDERA??ES éTICAS],1,
Evaluating Social Bias in Code Generation Models,0,1
PROMPT RISK CONTROL: A RIGOROUS FRAMEWORK FOR RESPONSIBLE DEPLOYMENT OF LARGE LANGUAGE MODELS,0,
A Fresh Perspective on Measuring Complexity in Object-Oriented Software,0,
Exploring the Role of AI in Web Design and Development: A Voyage through Automated Code Generation,0,1
AI-Driven DevOps Transformation: A Paradigm Shift in Software Development,0,
PREDICTING EMERGENT ABILITIES WITH INFINITE RESOLUTION EVALUATION,0,
PaLM: Scaling Language Modeling with Pathways,1,
State of the Art of the Security of Code Generated by LLMs: A Systematic Literature Review,0,
Enhancing Security in Industrial Application Development: Case Study on Self-Generating Artificial Intelligence Tools,0,
A Self-Iteration Code Generation Method Based on Large Language Models,0,
Detecting ChatGPT-Generated Code in a CS1 Course,0,
Toward Artificial Intelligence-Human Paired Programming: A Review of the Educational Applications and Research on Artificial Intelligence Code-Generation Tools,0,1
Who Wrote this Code? Watermarking for Code Generation,0,
Developing Critical Thinking Practices Interwoven with Generative AI Usage in an Introductory Programming Course,0,
Transforming Computer Security and Public Trust Through the Exploration of Fine-Tuning Large Language Models,0,
Do Generative AI Tools Ensure Green Code? An Investigative Study,0,1
Can LLMs Generate Green Code - A Comprehensive Study Through LeetCode,0,1
Can Generative AI Uncover Hidden Patterns in Historical Domestic Traffic Ads Through Data Analysis? A ChatLoS-DTA Exploration,0,
Toward Responsible AI in the Era of Generative AI: A Reference Architecture for Designing Foundation Model-Based Systems,0,
Exploring the Potential of Prompt Engineering: A Comprehensive Analysis of Interacting with Large Language Models,0,
RMCBench: Benchmarking Large Language Models’ Resistance to Malicious Code,0,
"Coding with ChatGPT and Other LLMs: Navigate LLMs for effective coding, debugging, and AI-driven development",1,
AI-Powered Code Reviews: Leveraging Large Language Models,0,
Ethical Aspects of ChatGPT in Software Engineering Research,0,
Empowering Human-Machine Communication in Code Generation with NLP,0,1
Exploring the Potential Use of Generative AI in Software Engineering Education,0,
A Security Risk Taxonomy for Prompt-Based Interaction With Large Language Models,0,
Enhancing Process Mining through LLMs: A User-Centric Approach,0,
