paper title,exclude,selection filter
Ethically sourced animal cadavers and tissue: Considerations for education and training,0,0
Ethical sourcing to ensure sustainability in the food and beverage industry and eliciting millennial perspectives,0,0
Facilitating the ethical sourcing of donor hematopoietic stem cells for cell and gene therapy research and development,0,0
"Consent Is Dead, Long Live Ethical Oversight: Integrating Ethically Sourced Data into Demonstrated Consent Models",0,0
A greater share of the stomach? Role of provenance and ethical standards on consumers' food choices and purchasing intentions,0,0
Ethically Sourced Creativity: Shutterstock's Alessandra Sala,1,0
Ethical Sourcing and Consumer Demand for Coffee,1,0
Ethical animal use in education and training: From clinical rotations to ethically sourced cadavers,0,0
Who owns your voice? Ethically sourced voices for non-commercial TTS applications,0,0
The Role of Ethical Sourcing Practices in Addressing Price Inflation in Renewable Energy Supply Chains,1,0
Ethical Sourcing in the Global Food System,0,0
Ethical sourcing: An analysis of the literature and implications for future research,0,0
Ethical sourcing: a contribution to sustainability or a diversion?,0,0
Supply chain specific? Understanding the patchy success of ethical sourcing initiatives,0,0
The influence of ethical values and food choice motivations on intentions to purchase sustainably sourced foods,0,0
The influence of ethical culture on supplier selection in the context of sustainable sourcing,0,0
Ethical Sourcing of Raw Materials,0,0
Fast fashion or clean clothes? Evaluating consumer demand for ethically sourced apparel,0,0
Using ethically sourced training aids for human remains detection dog training,0,0
Luxury marketing strategies related to ethical sourcing,0,0
From banking to international governance: fostering innovation in stem cell research,0,0
Leading the transition to ethical human body sourcing in Africa: The South African experience,0,0
Ethically Sourced Vanilla: Certifications in the production of vanilla in the SAVA Region of Madagascar,1,0
A Transparent New World: Ethically Sourced Mineral Supply Chain,0,0
"Supply chain transparency, ethical sourcing, and synthetic diamond alternatives: exploring the perspectives of diamond retailers",1,0
Sustainable sourcing of organic skincare ingredients: A critical analysis of ethical concerns and environmental implications,1,0
Ethical sourcing of human embryonic stem cells—rational solutions?,0,1
Certifying biodiversity: The union for ethical biotrade and the search for ethical sourcing,0,0
Ethics in business,1,0
Shareholder value effects of ethical sourcing: comparing reactive and proactive initiatives,0,0
Sustainability and Ethical Considerations in Product Management,0,0
[HTML] Launching the tree of life gateway,1,0
Individuals and (synthetic) data points: using value-sensitive design to foster ethical deliberations on epistemic transitions,0,0
"Preparation and Preservation of Donated Human Skeletal Remains with the use of Dermestid Beetles, Maceration, and Acryloid B-72 Polymer",1,0
Sheinerella,1,0
SIG: A Synthetic Identity Generation Pipeline for Generating Evaluation Datasets for Face Recognition,0,0
Examining the Impact of Ethical Supply Chain Practices on Brand Equity: A Qualitative Analysis of Consumer Perceptions,1,0
Early AI lifecycle co-reasoning: ethics through integrated and diverse team science,0,0
Stakeholder perspectives on ethical and trustworthy voice AI in health care,0,0
Investigating the Use of Companion Animal Donor Tissue Banks,0,0
The Oasis Brew Coffee House Comprehensive Market Analysis for Product Launch,1,0
Blockchain Technology in Sustainable Supply Chains: Risk Management and Opportunities,1,0
Merging Blockchain and Augmented Reality for an Immersive Traceability Platform,0,0
Alternatives to animal use in veterinary education: A growing debate,1,0
Navigating the Coffee Business Landscape: Challenges and Adaptation Strategies in a Changing World,0,0
Beyond the property debate: animal welfare as a public good,0,0
Developing an Artisanal Buying Centre System Meeting Ethical Sourcing Criteria,0,0
Korea national stem cell bank,0,0
New NIH program for artificial intelligence in research,1,0
Oasis Brew Coffee House's Economic Analysis to Local Wisdom,1,0
