paper title,domain,bib,dimension,phrases indicating the dimension
Ethically sourced animal cadavers and tissue: Considerations for education and training,Education; Life Sciences,martinsen2007ethically,animal welfare,"""increasing awareness of animal welfare, animals' needs and animal ethics"""
Ethical sourcing to ensure sustainability in the food and beverage industry and eliciting millennial perspectives,Economy; food and beverage industry,mboga2017ethical,"animal welfare;
Social responsibility (community development);
environment (energy consumption)
environment (emissions and pollution);
labor right (fair wage, working conditions, legal employment);
health and safety;
transparency (in supply chain);
","""animal welfare"";
""The commitment to become a sustainable industry is essential in making a positive impact in our communities""
""increase of greenhouse gas emissions""
""company uses tons of energy and raw materials ""
""wages and benifit"", ""child labor"", ""working condition"";
""Safe Quality Food"";
""supplier transparency"";
"
Facilitating the ethical sourcing of donor hematopoietic stem cells for cell and gene therapy research and development,medicine,hamad2024facilitating,"transparency;
privacy","""openness and clear communication regarding how their donated cells are used in research"";
""concerns over privacy, security of genetic material"""
"Consent Is Dead, Long Live Ethical Oversight: Integrating Ethically Sourced Data into Demonstrated Consent Models",biomedicine; bioethics,belisle2025consent,"Diversity
consent;
Privacy
Transparency
Fairness
Representative
energy consumption
Accessibility","""Ethical integrity and accountability: Ensuring that data practices uphold consent, transparency, and diversity"";
""informed consent, clear"";
""Minimizing bias"";
""ensuring that datasets are representative to avoid reinforcing systemic inequities"";
""energy-efficient consensus mechanisms,"";
""The technical requirements—such as reliable
Internet access, digital literacy, and compatible devices—could exclude individuals in resource-limited settings or under-resourced populations"";"
A greater share of the stomach? Role of provenance and ethical standards on consumers' food choices and purchasing intentions,Economy; Food industry,soon2018greater,"energy consumption;
emissions and pollution
animal welfare;
transparency;
fair trade","""reduces energy consumption"";
""Carbon Foorprint""
""animal welfare""
""traceability"";
""fair trade"""
Ethical animal use in education and training: From clinical rotations to ethically sourced cadavers,Education; medicine and biological science,jukes2014ethical,"animal welfare;
consent","""the highest ethical, welfare, health and safety standards""
""Client donated, if a companion animal"""
Who owns your voice? Ethically sourced voices for non-commercial TTS applications,"speech synthesis, text-to-speech",scott2019owns,"privacy;
informed consent;
representative;
Intellectual Property Rights (IPR), license;","""privacy issues"";
""lack of informed consent"",""opt-in"";
""varied and representative TTS voices for use by other communities"";
""ownership rights"", ""copyright or patent to one's voice"";"
Ethical Sourcing in the Global Food System,food industry; economy,barrientos2012ethical,"fair trade;
labor right (working conditions);
equity","""fair trade"";
""decent working condition"";
""Ethical Trade: What Does It Mean for Women Workers in African Horticulture?"""
Ethical sourcing: An analysis of the literature and implications for future research,Business Ethics;  supply chain management,kim2018ethical,"labor right (fair wage)
fair trade","""low wage"";
""Starbuck’s unfair trade scandal in the early 2000s, which was blamed for making huge profits at the coffee grower’s expense"""
Ethical sourcing: a contribution to sustainability or a diversion?,economy,blowfield2000ethical,"fair trade;
energy consumption
emissions and pollution","""fair trade"";
"" environmental impact assessment and energy and materials accounting ""
""waste and pollution management"""
