aspect,specific_bib_list,general_bib_list
informed consent,"listarcoder, majeed2024reliability, parikh2023empowering, prather2023robots","belisle2023individuals, belisle2024stakeholder, belisle2025consent, billings2024leading, dargan2024using, fessenko2024ethical, gupta2022adima, isasi2011banking, jukes2014ethical, kamstra2023novel, kim2021korea, mitchell2024investigating, nzalasse2024sig, puppala2021humane, rameau2024developing, scott2019owns"
privacy and security,"depalma2024exploring, garcia2025teaching, gupta2023chatgpt, klemmer2024using, listarcoder, majeed2024reliability, muthazhagu2024exploring, niu2023codexleaks, parikh2023empowering, prather2023robots, rahmaniar2023chatgpt, wang2024time","belisle2023individuals, belisle2024stakeholder, belisle2025consent, fessenko2024ethical, gupta2022adima, hamad2024facilitating, isasi2011banking, kamstra2023novel, nzalasse2024sig, rameau2024developing, scott2019owns"
diversity,"chowdhery2023palm, listarcoder, majeed2024reliability, muthazhagu2024exploring, parikh2023empowering","belisle2023individuals, belisle2024stakeholder, belisle2025consent, fessenko2024ethical, goebel2012influence, gupta2022adima, kamstra2023novel, kim2022shareholder, nzalasse2024sig, pacia2024early, rameau2024developing"
fairness,"aswal2024empowering, becker2023programming, chowdhery2023palm, depalma2024exploring, feng2023investigating, garcia2025teaching, lau2023ban, ling2024evaluating, listarcoder, liu2023uncovering, liu2024toward, majeed2024reliability, muthazhagu2024exploring, prather2023robots, rahmaniar2023chatgpt, wang2024time","barrientos2012ethical, belisle2023individuals, belisle2024stakeholder, belisle2025consent, fessenko2024ethical, goebel2012influence, gupta2022adima, nzalasse2024sig, pacia2024early"
representation,"becker2023programming, feng2023investigating, lau2023ban, muthazhagu2024exploring","belisle2024stakeholder, belisle2025consent, fessenko2024ethical, nzalasse2024sig, pacia2024early, rameau2024developing, scott2019owns"
accessibility,"gupta2023chatgpt, listarcoder, prather2023robots","belisle2023individuals, belisle2025consent, gupta2022adima, kamstra2023novel, kim2021korea, pacia2024early, rameau2024developing"
transparency,"chowdhery2023palm, gupta2023chatgpt, listarcoder, ma2024code, majeed2024reliability, muthazhagu2024exploring, parikh2023empowering, wang2024time","adebayo2024sustainable, alzeer2025halal, ameta2024green, belisle2023individuals, belisle2024stakeholder, belisle2025consent, fiore2024merging, hamad2024facilitating, isasi2011banking, kim2022shareholder, mboga2017ethical, pacia2024early, peluso2023navigating, rameau2024developing, roumeliotis2023unveiling, sanghavi13sustainability, soon2018greater, steenkampdeveloping, williams2020transparent"
source acknowledgement,"klemmer2024using, li2023discriminating, ma2024code, majeed2024reliability",None
licensing,"becker2023programming, chowdhery2023palm, klemmer2024using, lau2023ban, li2023discriminating, listarcoder, liu2024toward, ma2024code, majeed2024reliability, muthazhagu2024exploring, niu2023codexleaks, parikh2023empowering, yan2022whygen","kamstra2023novel, scott2019owns"
generation distinctiveness,"li2023discriminating, listarcoder, ma2024code, prather2023robots, wang2024time, yan2022whygen",None
contamination,None,"alzeer2025halal, azmi2024combining"
accuracy,"chowdhery2023palm, liu2024toward, majeed2024reliability, parikh2023empowering, wang2024time","belisle2023individuals, belisle2024stakeholder"
community development,None,"ameta2024green, kim2022shareholder, mboga2017ethical, pulverail2013ethical, roumeliotis2023unveiling"
religion,"chowdhery2023palm, listarcoder, liu2023uncovering","alzeer2025halal, azmi2024combining, billings2024leading, nadal2021charting"
culture,"chowdhery2023palm, majeed2024reliability","belisle2024stakeholder, billings2024leading"
fair wages,lau2023ban,"adebayo2024sustainable, azmi2024combining, gupta2022adima, kim2018ethical, kim2022shareholder, mboga2017ethical, peluso2023navigating, ravi2025fast, roumeliotis2023unveiling, sanghavi13sustainability"
working conditions,lau2023ban,"adebayo2024sustainable, barrientos2012ethical, goebel2012influence, kim2022shareholder, mboga2017ethical, peluso2023navigating, roumeliotis2023unveiling, sanghavi13sustainability"
legal employment,None,"adebayo2024sustainable, goebel2012influence, kim2022shareholder, mboga2017ethical, peluso2023navigating, ravi2025fast, roumeliotis2023unveiling, steenkampdeveloping, williams2020transparent"
energy consumption,"becker2023programming, chowdhery2023palm, lau2023ban, sikand2024generative, tuttle2024can, vartziotis2024learn","belisle2024stakeholder, belisle2025consent, blowfield2000ethical, goebel2012influence, holmsten2017luxury, mboga2017ethical, peluso2023navigating, pulverail2013ethical, roumeliotis2023unveiling, sanghavi13sustainability, soon2018greater"
emissions and pollution,"chowdhery2023palm, lau2023ban, sikand2024generative, vartziotis2024learn","ameta2024green, blowfield2000ethical, goebel2012influence, holmsten2017luxury, mboga2017ethical, roumeliotis2023unveiling, sanghavi13sustainability, soon2018greater, williams2020transparent"
