response_id,"Q: In your opinion, what should be considered when defining ""ethically sourced code generation""?",label,"Q: Have you ever encountered ethical sourcing issues while using, working with, or developing code generation models? Please describe. (If you have not, you may simply write ""No."")",label,"Q: After reading our dimensions, do you think you have encountered any situation where an ethically sourced code generation model was neededâ€”for example, when the code generated by models is from unknown sources, you were unsure if it was safe or legal to use? If yes, please briefly describe the situation.",label,Q: What do you think could be potential impacts or consequences of code generation models that are not ethically sourced (from the perspective of both model developers and users)?,label,"Q: Can you share any examples or experiences that illustrate why you think certain dimensions are relevant to the definition of ethically sourced code generation?
 If yes, please share your examples, experiences, or just your personal reasoning.",label,"Q: Based on the dimensions you have just considered, do you believe that any currently available code generation tools align with the definition of ethically sourced code generation? If yes, please list the name(s) of the tool(s) and briefly explain why.",label,"Q: Is there anything about ethically sourced code generation that you still find unclear, confusing, or difficult to define? Are there any other dimensions you think should be included? (If nothing comes to mind, you may simply write â€œNo.â€)",label
R_71Z1TZQQID1hnrl,The souce for generating the code should be recorded and traced,source acknowledgement;,"for example, I don't know whether the generated code is a copy of code from other sources","unknown sources;
generation distictiveness","Yes, because I am not sure if the code generated can be used in my product or not",IP,It makes the generated code unreliable and untrustable,unreliable and untrustable,It is based on my personal reasoning,personal reasoning,"no, my guess is that current tools do not align with the definition of ethically sourced code generation",n,"no, the points listed in this survey are quite comprehensive","n
comprehensive"
R_8Y34YAOnBbCcLQw,"Sustainability (Environmental impact)
 Contribution to authors if AI copies code snippets
 Some guarantee of code quality (e.g., security)
 No learning from input to avoid privacy issues","environment (sustainability, pollution?)
compensation
code quality;
code security
privacy","News on environmental impact and privacy issues through the model learning, low code quality","environment
privacy
code quality","New about the Environmental impact, and privacy violations of models","environment
privacy","Environmental issues, data leaks, using data that's copyrighted by developers","environment;
data leak (privacy)
licensing",News and research articles,news and research articles,no,n,no,n
R_2n2OxsREA7LAHIl,whether the code generated by teh AI contains material that could be violating copyright laws and whether it is understandable to verify whether it is safe,Licensing,No,,No,n,"possible legal issues, negative consequences on society if working conditions are bad or energy consumption too high","legal issues
bad working condition
energy consumption",I think the legal issues and the environmental issues are very important because they both are still uncertain and will have an huge effect on society in the coming years,"legal issue
environment impact
social impact","No, while I think that there will be improvements in the coming years, I think that the current technology is not developed enough to be classified ethically sourced","n, but improving",No,n
R_72TdKwJh2PEL0Zz,"- licensing and compliance
 - fairness both in terms of generating code that consider fairness and in terms of attributing code to the sources used during training 
 - privacy and security 
 - energy-awareness and efficiency","licensing;
fairness;
source acknowledgement
privacy
security
environment (energy consumption","Yes, all above","licensing;
fairness;
source acknowledgement
privacy
security
energy consumption",Most of the time these dimentions are not respected,Most of the dimension,"Monopolies, security threats, risks, copyright infringement etc.","Monopolies;
security
legal (licensing, infringement)",",",,No,n,No,n
R_3w7g55cN3ZXab0Z,"First and foremost, we need to consider environmental protection. Training GPT-3, which is an outdated model for now, can be responsible for producing CO2 equivalent to that of 5 cars over a lifetime, which is a significant amount. Even in the inference phase, it creates a massive amount of CO2. Therefore, if LLMs will stay and help developers, we need more specialized, smaller code generation models.
 
 Secondly, to maintain transparency and traceability, we need to apply the concept of supply chain, like tracking the origin of code (i.e., which public code closely aligns with the generated code)","environment (emissions and pollution);
transparency;
source acknowledgement; (trace source that aligns with the generated code);
supply chain;
stages (training, inference)","Current models face significant challenges with traceability. They generate code and ideas while citing sources that, in many cases, do not exist. Even when the cited sources are real, the information, ideas, or code provided by these models are not actually found in those sources.","traceability, source acknowledgement;;
cheating on source explanation -> integrity - honesty
;

","I often think about whether a piece of code is safe or legal when it uses a third-party library or API. Sometimes I have my API keys, and I want to avoid posting them on any unknown website.",privacy,The model could reveal very sensitive information about an entity.,privacy leak,No,,I don't believe such a model exists. Companies now prioritize productivity over reliable and ethically sourced code. I fear we may see catastrophic effects in a few years.,"n
Companies now prioritize productivity over reliable and ethically sourced code",No,n
R_4Euo5ZsbRnQqAsb,Code that is free from bias and properly sourced without copyright violations,"fairness;
licensing",No,,Using code from certain github repositories or packages developed by others for Proprietary softwares,IP,Ould potentially deter deep thinking and understanding before code deployment,User-cognitive (reliance on code generation),Fairness especially in the way models are trained and the bias of the inherent training data could largely affect model outputs and have a large impact on a society that is increasingly building upon AI generated outputs.,"fairness: 
social impact of model output",No,n,No,n
R_9LunYQ15josaj9L,The creation process of the code generation model and tool should always follow an ethical standard.,process / stages,Very few cases such as generating impolite responses or code with license issues.,"licensing;
impolite response (equity - fairness)",I want to be assured when using code generation models. I don't want to get troubled when the code I am using generated by the model has ethical issues.,IP,Social stress of using unethical code generated by models.,low social acceptability,"Some models are developed by people who work overtime and the competition is not fair, by sacrificing our personal time.","exploitation (overtime
increase competition","No, nearly all of them","n, nearly all",No,n
R_4FJq1kejEMyQ5m1,"privacy, security, and consent","privacy;
security;
consent",No,,"Yes, when the model reads my requirements, and it generates some unverified code.",code quality,may generate unsafe codes and affect the reliability of the software,"security
reliability",N/A,,n/a,n,No,n
R_3P4WVat2FdaAAJC,"software license, malware, vulnerable code, privacy related","licensing;
malware contamination;
code quality (vulnerability)
privacy","yes, credential leakage",privacy / security,No,n,malware,security / contamination,No,,No,n,No,n
R_7lhLoDNDS6prko7,"Whose code is being used, and whether they have provided permission to use it. Some code may be in public repos for anyone to use, but in other cases, people will want credit for their work. Also, it matters whether the code generated is accurate.","source acknowledgement;
consent / licensing
compensation
code quality (accuracy);",Not for code specifically.,,Not for code specifically.,n,"Some potential impacts are the model developers taking credit for a programmer’s work, or the programmer’s work being misrepresented. For the user, the model may display inaccurate code just because that was the most widely available version in the training dataset.","wrong contribution attribution
inaccuracy","Representation and fairness are important to ethically sourced code generation. LLMs may generate code that isn’t inclusive and unbiased, especially if the training data contains such code. For simple code, it may be a variable like “bool gender” (instead of enum or string), which would suggest gender is binary. For code involving machine learning, the model may be trained on a dataset that only encompasses a small sample of the population. If the sample is biased, and the LLM does not say so, there is a risk of that data being extrapolated too far.","equity - fairness (inclusive
data being extrapolated)
representation","No, I believe existing code generation models and their developers are primarily focused on profit and not ethics.","n
profit rather than ethics",No.,n
R_6fhyuaQTCPuyNm9,The LLM should be able to point out what are the exact pieces of code that were used as sources for the generation of the code that is provided as an answer to a prompt/question. This is just one example. I suspect that there are many other considerations.,source acknowledgement;,No,,"Yes, I am always thinking about that issue.",y,"The training could be done by including leaked code that is originally subject to copyrights, This effectively violates the copyright, which affects the author of the code. Potentially, the users could be liable if they use the generated code.","leak (privacy)
licensing (infringement
), 
legal issue for user",I dont have an example,,"No, I am not aware of any, though I have not use LLMs extensively for code generation.",n,no,n
R_51vWJoGYtchQm2Y,"License, ownership, accontability","licensing;
IP;
accountability",No,,N/A,n,"Legal issues in case of accidents (who is accountable?), human developers not getting the recognition or compensation they deserve","legal issue (ambiguous accountability)
lack compensation for source developer",N/A,,"Maybe only the open ones (e.g., Llama), but still partially",partially,No,n
R_6Zp6FQgp3iIcxMd,"Source of training and fine-tuning data, compensation for data annotation workers","source
fair wage (annotator)",No,,No,n,Unsafe and/or unlicensed code,"security
licensing",No,,No. One cannot acertain that only public domain and/or open-sourced code is used in the training/fine-tuning of models.,"n
uncertain whether they only use public domain code to train model",No,n
R_5gOCMoLcOBCOlky,"The source of data used to train the code generation models; the model training processes; the code generation processes (i.e., model inference).","source
stages (training and post-deployment (inference))",No,,"In all uses of code generation models, I think ethically sourced code generation models are needed.",y,"Security issues: hackers may leave backdoors in the training data to achieve adversarial goals. IP issues: IPs of code may not be respected. Privacy issues: some privacy information in certain code (e.g., sensitive configuration information) may be exposed.","security
IP
privacy leak","For example, low quality or contamination in the training data could lead to the generation of seemingly correct but in fact faulty code, wasting developers' time in debugging. Some developers of the training code could risk exposing their sensitive information (e.g., account info) unintentionally embedded in the code.","low-quality training data
inaccurate output 
contamination
privacy leak",I am not aware of any such tool.,n,No,n
